,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Battle Rope Alternating Split Squat Jump Power Slam,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,Biceps Femoris,Battle Ropes,1,None,0,Split Squat,Double Arm,Continuous,Neutral,Other,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Plyometric
,Single Arm Kettlebell Front Rack Contralateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Resistance Band Cuban Press,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,Horizontal Pull,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
,Single Arm Kettlebell Overhead Contralateral Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Resistance Band Tall Kneeling Cuban Press,,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Tall Kneeling,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,Horizontal Pull,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
,Superband Pull Apart,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,,Superband,1,None,0,Standing,Double Arm,Continuous,Supinated,Lateral,Continuous,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Mobility
,Resistance Band Tall Kneeling Face Pull,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,Resistance Band Overhead Press,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Resistance Band Alternating Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Alternating Double Dumbbell Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Suspension Skull Crusher,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Slider Double Dumbbell Front Rack Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Slider Double Dumbbell Suitcase Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Slider Double Dumbbell Overhead Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Double Dumbbell Skull Crusher,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Double Dumbbell Incline Bench Skull Crusher,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Double Dumbbell Decline Bench Skull Crusher,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Dumbbell Crush Grip Skull Crusher,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Dumbbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Dumbbell Crush Grip Incline Bench Skull Crusher,,,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Dumbbell,1,Bench (Incline),1,Seated,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Dumbbell Crush Grip Decline Bench Skull Crusher,,,Beginner,Triceps,Triceps Brachii ,Anconeus,Flexor Carpi Radialis,Dumbbell,1,Bench (Decline),1,Supine,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Double Dumbbell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,EZ Bar Reverse Grip Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,Single Arm Kettlebell Overhead Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Overhead Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Kettlebell Overhead Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Double Kettlebell Bottoms Up Front Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Knee Supported Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,,Dumbbell,1,Bench (Flat),1,Knee Supported,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Double Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Bottoms Up Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Front Rack Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Overhead Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Overhead Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Dumbbell Pullover,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Triceps Brachii,Dumbbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Flat Palm,Above Chest,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Dumbbell Incline Bench Pullover,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Triceps Brachii,Dumbbell,1,Bench (Incline),1,Seated,Double Arm,Continuous,Flat Palm,Above Chest,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Overhead Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Tire Incline Push Up,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Tire,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Double Dumbbell Close Grip Decline Bench Press,,Video Explanation,Beginner,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Neutral,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Bodyweight Eccentric Push Up,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Double Dumbbell Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Cable Knee Hover Quadruped Fire Hydrant,,,Advanced,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,None,0,Knee Hover Quadruped,Double Arm,Continuous,Flat Palm,Other,Continuous,No Elevation,Single Exercise,Hip External Rotation,Isometric Hold,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
,Double Dumbbell Incline Bench Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Double Dumbbell Seated Hammer Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Alternating Double Dumbbell Seated Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Double Dumbbell Incline Bench Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Single Arm Dumbbell Half Kneeling Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Dumbbell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Grinds
,Double Dumbbell Windmill,,,Advanced,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Grinds
,Alternating Double Dumbbell Incline Bench Hammer Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Double Dumbbell Cyclist Thruster,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,2,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Alternating Double Dumbbell Cyclist Thruster,,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,2,Slant Board,1,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
,Kettlebell Goblet Alternating Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Single Leg Standing,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Kettlebell Goblet Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Single Leg Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Kettlebell Horn Grip Alternating Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Single Leg Standing,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Single Arm Dumbbell Bent Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,Grinds
,Single Arm Dumbbell Half Kneeling Bent Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,Grinds
,Double Dumbbell Seated Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Brachialis,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Cable Straight Bar Tricep Pushdown,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anconeus,Brachioradialis,Cable,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Cable Straight Bar Reverse Grip Tricep Pushdown,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,,,Cable,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Alternating Double Dumbbell Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Brachialis,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Alternating Double Dumbbell Seated Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Brachialis,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Alternating,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Dumbbell Crush Grip Tall Kneeling Overhead Tricep Extension,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Dumbbell,1,None,0,Tall Kneeling,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Single Arm Dumbbell Overhead Press,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
